movieId,title,genres,rating_count,rating_mean,imdbId,tmdbId,imdb_rating
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,215,3.92093023255814,114709,862.0,8.3
2,Jumanji (1995),Adventure|Children|Fantasy,110,3.4318181818181817,113497,8844.0,7.1
3,Grumpier Old Men (1995),Comedy|Romance,52,3.2596153846153846,113228,15602.0,6.7
6,Heat (1995),Action|Crime|Thriller,102,3.946078431372549,113277,949.0,8.3
7,Sabrina (1995),Comedy|Romance,54,3.185185185185185,114319,11860.0,6.3
10,GoldenEye (1995),Action|Adventure|Thriller,132,3.496212121212121,113189,710.0,7.2
11,"American President, The (1995)",Comedy|Drama|Romance,70,3.6714285714285713,112346,9087.0,6.8
16,Casino (1995),Crime|Drama,82,3.926829268292683,112641,524.0,8.2
17,Sense and Sensibility (1995),Drama|Romance,67,3.776119402985074,114388,4584.0,7.7
19,Ace Ventura: When Nature Calls (1995),Comedy,88,2.727272727272727,112281,9273.0,6.4
21,Get Shorty (1995),Comedy|Crime|Thriller,89,3.49438202247191,113161,8012.0,6.9
25,Leaving Las Vegas (1995),Drama|Romance,76,3.625,113627,451.0,7.5
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,177,3.983050847457627,114746,63.0,8.0
34,Babe (1995),Children|Drama,128,3.65234375,112431,9598.0,6.9
36,Dead Man Walking (1995),Crime|Drama,67,3.835820895522388,112818,687.0,7.5
39,Clueless (1995),Comedy|Romance,104,3.293269230769231,112697,9603.0,6.9
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,203,3.975369458128079,114369,807.0,8.6
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,68,3.147058823529412,114148,10530.0,6.7
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,204,4.237745098039215,114814,629.0,8.5
62,Mr. Holland's Opus (1995),Drama,80,3.70625,113862,2054.0,7.3
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,55,3.5090909090909093,116367,755.0,7.2
95,Broken Arrow (1996),Action|Adventure|Thriller,84,3.023809523809524,115759,9208.0,6.1
104,Happy Gilmore (1996),Comedy,99,3.4393939393939394,116483,9614.0,7.0
110,Braveheart (1995),Action|Drama|War,237,4.031645569620253,112573,197.0,8.3
111,Taxi Driver (1976),Crime|Drama|Thriller,104,4.105769230769231,75314,103.0,8.2
141,"Birdcage, The (1996)",Comedy,86,3.494186046511628,115685,11000.0,7.2
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,51,3.2450980392156863,112442,9737.0,6.8
150,Apollo 13 (1995),Adventure|Drama|IMAX,201,3.845771144278607,112384,568.0,7.7
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,137,2.916058394160584,112462,414.0,5.4
158,Casper (1995),Adventure|Children,62,2.806451612903226,112642,8839.0,6.2
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,57,2.8771929824561404,112715,10329.0,5.3
161,Crimson Tide (1995),Drama|Thriller|War,103,3.6359223300970873,112740,8963.0,7.3
163,Desperado (1995),Action|Romance|Western,66,3.560606060606061,112851,8068.0,7.1
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,144,3.555555555555556,112864,1572.0,7.6
168,First Knight (1995),Action|Drama|Romance,54,3.083333333333333,113071,6520.0,6.0
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,53,2.679245283018868,113481,9886.0,5.6
173,Judge Dredd (1995),Action|Crime|Sci-Fi,62,2.669354838709677,113492,9482.0,5.6
185,"Net, The (1995)",Action|Crime|Thriller,112,3.040178571428572,113957,1642.0,6.0
208,Waterworld (1995),Action|Adventure|Sci-Fi,115,2.9130434782608696,114898,9804.0,6.3
223,Clerks (1994),Comedy,104,3.855769230769231,109445,2292.0,7.7
225,Disclosure (1994),Drama|Thriller,52,3.5384615384615383,109635,8984.0,6.2
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,133,3.0601503759398496,109686,8467.0,7.3
